OpenTime,Open,High,Low,Close,Volume,TradesCount
2026-05-23 03:00:00,75572.07,75664.62,75563.33,75635.22,267.29386,36530
2026-05-23 04:00:00,75635.22,75650.63,75507.01,75539.77,198.6031,34869
2026-05-23 05:00:00,75539.77,75562.4,75469.89,75482.68,267.20559,40164
2026-05-23 06:00:00,75482.68,75501.09,75394.54,75398.33,189.47214,36351
2026-05-23 07:00:00,75398.33,75443.44,74289.6,74609.36,2035.70931,180109
2026-05-23 08:00:00,74609.37,74746.67,74303.56,74684.3,963.9472,116134
2026-05-23 09:00:00,74684.29,74752.45,74624.5,74656.91,431.5071,44794
2026-05-23 10:00:00,74656.91,74797.01,74656.91,74705.0,625.72233,37440
2026-05-23 11:00:00,74705.0,74873.55,74704.99,74789.99,487.9196,30312
2026-05-23 12:00:00,74789.99,74798.41,74660.05,74753.93,570.81814,35012
2026-05-23 13:00:00,74753.94,75262.86,74753.93,75213.9,815.89889,98426
2026-05-23 14:00:00,75213.9,75726.3,75108.15,75537.72,922.06012,90365
2026-05-23 15:00:00,75537.73,75676.0,75405.4,75520.0,634.72295,72255
2026-05-23 16:00:00,75519.99,75638.62,75415.17,75444.7,411.95204,62849
2026-05-23 17:00:00,75444.71,75522.0,75371.72,75488.18,566.20129,55939
2026-05-23 18:00:00,75488.17,75986.24,75472.04,75845.82,429.21806,107879
2026-05-23 19:00:00,75845.82,76012.22,75780.9,75983.45,364.9012,68801
2026-05-23 20:00:00,75983.45,77300.0,75953.94,77287.58,1242.58285,239289
2026-05-23 21:00:00,77286.08,77404.18,76538.04,76804.99,1147.59506,197120
2026-05-23 22:00:00,76805.0,76885.0,76396.06,76584.45,464.30329,93641
2026-05-23 23:00:00,76584.45,76822.0,76538.36,76752.01,420.43862,82396
2026-05-24 00:00:00,76752.0,76930.65,76629.02,76835.16,392.54327,73690
2026-05-24 01:00:00,76835.16,76921.45,76754.53,76890.04,225.24128,46201
2026-05-24 02:00:00,76890.04,76968.04,76704.32,76830.0,185.87406,43212
2026-05-24 03:00:00,76830.01,77011.62,76738.5,76750.0,248.04543,49639
2026-05-24 04:00:00,76750.01,76858.26,76730.0,76786.5,163.64327,33663
2026-05-24 05:00:00,76786.5,76861.78,76651.59,76822.23,202.16815,33881
2026-05-24 06:00:00,76822.23,77065.94,76716.02,76987.58,257.8917,47296
2026-05-24 07:00:00,76987.58,77014.24,76786.2,76799.99,193.96514,41262
2026-05-24 08:00:00,76799.99,76861.77,76734.42,76830.69,226.94949,30043
2026-05-24 09:00:00,76830.69,77046.67,76821.86,77020.53,369.92973,36666
2026-05-24 10:00:00,77020.54,77543.15,76927.04,77190.74,863.69953,93970
2026-05-24 11:00:00,77190.73,77356.62,77190.73,77320.06,285.66801,59458
2026-05-24 12:00:00,77320.06,77325.72,77044.73,77118.73,271.94108,50132
2026-05-24 13:00:00,77118.72,77127.54,76688.89,76802.23,474.39799,81337
2026-05-24 14:00:00,76802.23,76840.01,76195.36,76465.16,837.87651,150450
2026-05-24 15:00:00,76465.15,76539.38,76362.78,76371.59,398.04105,47070
2026-05-24 16:00:00,76371.59,76734.3,76371.59,76671.7,359.46109,72220
2026-05-24 17:00:00,76671.69,76799.99,76566.15,76693.34,249.31214,57462
2026-05-24 18:00:00,76693.34,76788.01,76596.0,76665.73,148.14196,45813
2026-05-24 19:00:00,76665.72,76783.51,76611.17,76773.34,125.12918,46271
2026-05-24 20:00:00,76773.33,76796.18,76596.37,76668.4,560.38206,71190
2026-05-24 21:00:00,76668.41,76748.12,76108.0,76151.14,497.80071,117979
2026-05-24 22:00:00,76151.14,77012.01,76132.0,76803.99,543.11534,175332
2026-05-24 23:00:00,76803.99,77225.97,76803.99,77064.96,316.78339,108732
2026-05-25 00:00:00,77064.96,77288.0,77064.95,77153.01,281.30951,103947
2026-05-25 01:00:00,77153.01,77245.67,76914.25,76945.27,574.42489,131420
2026-05-25 02:00:00,76945.28,77485.0,76945.28,77108.77,313.96478,101687
2026-05-25 03:00:00,77108.77,77169.88,77002.3,77026.67,198.70522,62424
2026-05-25 04:00:00,77026.68,77450.0,76990.78,77391.07,251.77406,45353
2026-05-25 05:00:00,77391.07,77498.0,77324.0,77407.0,306.77798,48800
2026-05-25 06:00:00,77406.99,77650.0,77222.22,77419.87,413.85927,93661
2026-05-25 07:00:00,77419.87,77520.0,77184.62,77401.12,376.11814,84141
2026-05-25 08:00:00,77401.11,77469.64,77280.32,77456.94,352.6298,49698
2026-05-25 09:00:00,77456.94,77699.97,77425.17,77604.56,369.10396,79075
2026-05-25 10:00:00,77604.56,77681.37,77490.37,77545.65,283.53522,49843
2026-05-25 11:00:00,77545.65,77545.65,77333.33,77357.5,209.17805,46631
2026-05-25 12:00:00,77357.5,77440.46,77286.5,77367.98,261.28583,69269
2026-05-25 13:00:00,77367.98,77450.0,77286.5,77341.05,199.52985,57006
2026-05-25 14:00:00,77341.05,77773.69,77304.84,77714.0,603.07815,107006
2026-05-25 15:00:00,77713.99,77905.52,77557.0,77628.82,499.50313,103031
2026-05-25 16:00:00,77628.82,77807.29,77508.88,77735.69,342.64397,69324
2026-05-25 17:00:00,77735.69,77804.48,77550.39,77564.01,278.21782,63509
2026-05-25 18:00:00,77564.0,77658.01,77543.38,77543.39,204.7646,51100
2026-05-25 19:00:00,77543.39,77543.39,77343.61,77441.86,295.53937,78449
2026-05-25 20:00:00,77441.85,77500.0,77220.0,77273.06,314.11527,75971
2026-05-25 21:00:00,77273.06,77396.08,77273.05,77367.03,183.92616,60991
2026-05-25 22:00:00,77367.03,77449.94,77019.82,77116.21,395.72227,94070
2026-05-25 23:00:00,77116.21,77367.44,77072.36,77322.01,162.61467,52103
2026-05-26 00:00:00,77322.01,77345.0,76575.49,76792.71,686.17714,132488
2026-05-26 01:00:00,76792.24,76888.01,76590.9,76756.98,342.05131,112352
2026-05-26 02:00:00,76756.98,76810.0,76512.98,76660.0,721.43857,84127
2026-05-26 03:00:00,76660.0,76705.71,76475.59,76664.01,396.14567,66530
2026-05-26 04:00:00,76664.0,76817.28,76606.79,76749.5,392.59093,48961
2026-05-26 05:00:00,76749.51,76989.23,76704.8,76930.01,556.0432,65633
2026-05-26 06:00:00,76930.0,77059.74,76775.0,76908.01,658.30833,127846
2026-05-26 07:00:00,76908.0,76924.55,76603.73,76730.84,436.26184,80765
2026-05-26 08:00:00,76730.84,76852.01,76693.21,76726.37,246.06951,70967
2026-05-26 09:00:00,76726.37,76804.0,76649.79,76672.19,350.5237,71994
2026-05-26 10:00:00,76672.2,77621.75,76586.94,77430.0,897.13516,208510
2026-05-26 11:00:00,77430.0,77516.93,77174.94,77183.55,403.26795,85873
2026-05-26 12:00:00,77183.56,77232.52,76877.94,77132.5,402.68245,102481
2026-05-26 13:00:00,77132.51,77464.01,76691.88,77231.56,659.9668,197068
2026-05-26 14:00:00,77231.56,78080.0,76724.63,76908.01,2020.17697,397733
2026-05-26 15:00:00,76908.01,77012.0,76272.63,76518.1,1751.25838,316708
2026-05-26 16:00:00,76518.1,76710.01,76209.58,76558.0,2070.02098,239275
2026-05-26 17:00:00,76558.0,76649.91,75850.0,75935.08,1190.65802,288068
2026-05-26 18:00:00,75935.09,76273.66,75779.3,75840.55,846.30902,180058
2026-05-26 19:00:00,75840.55,76104.49,75805.23,76052.0,581.71052,153381
2026-05-26 20:00:00,76052.0,76180.0,75982.64,76106.86,324.41575,82812
2026-05-26 21:00:00,76106.86,76117.31,75850.0,75890.0,275.58323,68700
2026-05-26 22:00:00,75890.0,75998.94,75677.97,75749.02,428.12169,107093
2026-05-26 23:00:00,75749.02,75986.45,75749.02,75930.01,316.55917,71322
2026-05-27 00:00:00,75930.01,76089.7,75872.71,76085.01,780.41682,87492
2026-05-27 01:00:00,76085.0,76104.02,75824.0,75877.44,573.72878,82231
2026-05-27 02:00:00,75877.44,75890.59,75682.99,75879.0,437.25803,91572
2026-05-27 03:00:00,75879.01,75966.91,75607.62,75683.0,612.84746,89511
2026-05-27 04:00:00,75683.0,75706.77,75310.9,75579.01,817.05359,132676
2026-05-27 05:00:00,75579.01,75739.36,75579.0,75697.99,490.56114,89802
2026-05-27 06:00:00,75697.99,75900.0,75690.01,75838.65,482.86494,86170
2026-05-27 07:00:00,75838.65,75980.0,75764.0,75977.17,433.92885,81501
2026-05-27 08:00:00,75977.16,76071.41,75843.02,75873.24,308.77238,81839
2026-05-27 09:00:00,75873.25,75978.01,75710.76,75912.6,294.26595,75837
2026-05-27 10:00:00,75912.61,76043.94,75880.0,75909.82,372.61961,91806
2026-05-27 11:00:00,75909.82,76029.24,75754.1,75769.18,316.01081,81269
2026-05-27 12:00:00,75769.18,76174.15,75575.75,75688.0,621.24106,176734
2026-05-27 13:00:00,75688.01,75760.0,74866.18,75073.4,2200.23684,384667
2026-05-27 14:00:00,75073.4,75274.11,74758.33,75031.92,1567.20208,283717
2026-05-27 15:00:00,75031.92,75502.29,74983.77,75326.01,797.5234,196665
2026-05-27 16:00:00,75326.02,75408.01,75000.0,75304.01,632.49097,169946
2026-05-27 17:00:00,75304.01,75344.01,74685.58,74860.42,1103.99219,213261
2026-05-27 18:00:00,74860.42,75032.01,74663.45,75026.67,549.25309,158217
2026-05-27 19:00:00,75026.67,75105.17,74952.36,75066.08,879.80197,119564
2026-05-27 20:00:00,75066.09,75415.81,75056.25,75274.58,389.41476,85203
2026-05-27 21:00:00,75274.58,75274.58,74341.76,74473.01,653.21971,196168
2026-05-27 22:00:00,74473.01,74775.5,74260.91,74418.13,624.64107,179560
2026-05-27 23:00:00,74418.12,74572.0,74243.99,74449.3,938.42933,131660
2026-05-28 00:00:00,74449.31,74580.0,74366.89,74570.66,476.29695,149905
2026-05-28 01:00:00,74570.67,74590.77,74156.0,74344.08,653.98384,240503
2026-05-28 02:00:00,74344.07,74400.0,74127.57,74287.42,717.91596,160530
2026-05-28 03:00:00,74287.43,74380.39,73060.59,73258.01,3879.74728,407020
2026-05-28 04:00:00,73258.0,73260.01,72728.85,73181.95,1588.42564,239372
2026-05-28 05:00:00,73181.95,73181.95,72908.67,72990.87,850.50171,132474
2026-05-28 06:00:00,72990.87,73213.11,72761.11,73202.7,1248.76931,123405
2026-05-28 07:00:00,73202.71,73512.14,73158.0,73498.0,1111.91354,118348
2026-05-28 08:00:00,73498.0,73500.0,73193.13,73325.88,567.79073,94211
2026-05-28 09:00:00,73325.88,73560.0,73261.6,73541.24,547.18862,77791
2026-05-28 10:00:00,73541.25,73616.0,73349.91,73400.01,495.53335,95978
2026-05-28 11:00:00,73400.01,73532.01,73319.36,73505.66,383.87102,111564
2026-05-28 12:00:00,73505.65,73580.75,73245.56,73518.01,454.53291,124740
2026-05-28 13:00:00,73518.01,73574.6,72771.64,73022.02,1277.58759,249841
2026-05-28 14:00:00,73022.01,73573.21,72582.82,73033.06,2189.6201,443474
2026-05-28 15:00:00,73033.06,73180.01,72700.0,72928.73,710.64433,206962
2026-05-28 16:00:00,72928.73,73440.67,72741.4,73440.67,821.59668,191923
2026-05-28 17:00:00,73440.66,73734.72,73316.31,73554.82,737.45631,134207
2026-05-28 18:00:00,73554.81,73749.69,73514.57,73652.88,517.48323,107540
2026-05-28 19:00:00,73652.87,73652.88,73381.81,73419.32,447.75042,86751
2026-05-28 20:00:00,73419.31,73721.45,73241.48,73579.99,441.85746,88448
2026-05-28 21:00:00,73580.0,73926.22,73560.45,73817.31,386.07817,83825
2026-05-28 22:00:00,73817.31,73949.22,73448.55,73464.8,445.66881,77340
2026-05-28 23:00:00,73464.8,73714.9,73464.79,73617.51,321.8063,53561
